height,weight,collage,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury,total_years
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",53.0,8.0,983.0,7.1,1.3,7.5,4.3,12.0,65.0,77.0,279.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",29.0,1.0,416.0,11.2,2.2,8.8,5.5,8.0,31.0,39.0,131.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",30.0,0.0,248.0,12.8,4.2,8.7,6.4,9.0,19.0,28.0,94.0,"(-1, 5]",2,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",2.0,0.0,15.0,17.3,0.0,15.9,7.6,0.0,2.0,2.0,7.0,"(-1, 5]",3,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",59.0,38.0,1476.0,16.9,4.0,10.5,7.1,56.0,135.0,191.0,703.0,"(-1, 5]",2,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",79.0,79.0,2552.0,14.3,3.8,9.6,6.6,93.0,220.0,313.0,1225.0,"(-1, 5]",2,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",82.0,19.0,2397.0,13.1,2.2,9.3,5.6,49.0,197.0,246.0,1205.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",42.0,18.0,1027.0,11.8,3.4,8.6,5.9,31.0,74.0,105.0,490.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",64.0,32.0,1753.0,14.5,2.8,8.1,5.4,44.0,124.0,168.0,938.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",43.0,12.0,1127.0,14.7,3.0,10.3,6.6,31.0,104.0,135.0,568.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",81.0,35.0,1859.0,14.3,1.7,9.5,5.5,28.0,155.0,183.0,890.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",19.0,0.0,442.0,17.6,0.9,7.2,4.1,4.0,30.0,34.0,267.0,"(5, 11]",1,"(5, 8]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",82.0,0.0,1474.0,12.3,1.1,8.8,5.0,14.0,117.0,131.0,591.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,18.0,1796.0,14.1,1.5,10.1,5.7,24.0,149.0,173.0,701.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",39.0,5.0,831.0,17.4,1.0,7.8,4.3,7.0,54.0,61.0,406.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",41.0,5.0,912.0,15.0,2.3,9.8,6.1,20.0,84.0,104.0,416.0,"(5, 11]",3,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",36.0,0.0,529.0,9.9,1.7,7.1,4.5,8.0,34.0,42.0,167.0,"(5, 11]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",12.0,10.0,291.0,13.2,1.5,8.6,4.9,4.0,21.0,25.0,110.0,"(5, 11]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(29, 35]",2.0,0.0,35.0,14.4,3.3,6.5,4.9,1.0,2.0,3.0,12.0,"(5, 11]",1,"(8, 11]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",47.0,0.0,624.0,15.0,13.5,18.7,16.0,76.0,99.0,175.0,244.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",72.0,11.0,1125.0,13.0,12.9,18.0,15.4,128.0,178.0,306.0,406.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",7.0,1.0,82.0,19.3,20.0,22.1,21.1,14.0,17.0,31.0,33.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",29.0,1.0,458.0,18.5,20.3,19.7,20.0,82.0,84.0,166.0,194.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",72.0,32.0,1500.0,19.3,13.8,24.3,19.0,194.0,341.0,535.0,696.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",70.0,57.0,1874.0,16.2,9.9,23.4,16.4,174.0,382.0,556.0,841.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",73.0,11.0,1513.0,16.4,11.3,21.2,16.3,156.0,295.0,451.0,645.0,"(5, 11]",2,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",7.0,0.0,47.0,5.5,19.6,15.1,17.4,8.0,6.0,14.0,12.0,"(5, 11]",1,"(5, 8]"
"(191, 203]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",22.0,1.0,195.0,14.2,2.3,9.2,5.7,4.0,16.0,20.0,99.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",37.0,4.0,384.0,9.7,1.8,9.5,5.7,6.0,34.0,40.0,161.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",16.0,0.0,57.0,15.3,11.0,13.3,12.1,6.0,7.0,13.0,21.0,"(-1, 5]",2,"(-1, 2]"
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",25.0,1.0,141.0,9.8,10.4,16.4,13.4,13.0,21.0,34.0,38.0,"(-1, 5]",2,"(-1, 2]"
"(179, 191]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",15.0,2.0,244.0,8.7,1.5,9.3,5.4,3.0,19.0,22.0,62.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",20.0,1.0,175.0,11.0,3.3,12.9,8.1,5.0,20.0,25.0,53.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",12.0,0.0,63.0,19.1,0.0,12.3,6.1,0.0,7.0,7.0,22.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",68.0,39.0,1817.0,16.5,1.5,7.5,4.6,23.0,119.0,142.0,699.0,"(-1, 5]",1,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",68.0,55.0,2102.0,16.3,1.7,9.9,5.7,30.0,172.0,202.0,669.0,"(-1, 5]",2,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",53.0,53.0,1799.0,16.7,1.3,9.1,5.2,19.0,141.0,160.0,555.0,"(5, 11]",3,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",28.0,28.0,887.0,18.2,0.8,8.5,4.5,6.0,64.0,70.0,326.0,"(5, 11]",2,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",81.0,81.0,2468.0,15.2,1.4,7.6,4.5,29.0,163.0,192.0,925.0,"(5, 11]",2,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",42.0,42.0,1270.0,11.3,1.7,9.8,5.6,19.0,105.0,124.0,382.0,"(5, 11]",3,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",72.0,72.0,2024.0,12.3,1.2,11.0,6.2,22.0,207.0,229.0,544.0,"(5, 11]",3,"(11, 14]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",24.0,11.0,292.0,9.1,2.9,13.2,7.9,8.0,34.0,42.0,80.0,"(5, 11]",2,"(11, 14]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",3.0,0.0,9.0,15.3,0.0,12.1,6.2,0.0,1.0,1.0,5.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,28.0,1045.0,13.7,13.1,22.0,17.4,124.0,191.0,315.0,253.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",54.0,3.0,894.0,13.0,8.9,11.1,10.0,69.0,86.0,155.0,272.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",34.0,0.0,491.0,11.1,7.2,14.6,10.9,31.0,64.0,95.0,100.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",14.0,0.0,100.0,7.0,7.0,10.7,8.9,6.0,9.0,15.0,14.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",4.0,0.0,24.0,3.9,0.0,14.7,7.3,0.0,3.0,3.0,0.0,"(5, 11]",1,"(8, 11]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",37.0,4.0,540.0,13.7,10.0,21.0,15.4,47.0,97.0,144.0,162.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",6.0,0.0,31.0,8.5,12.6,15.0,13.9,3.0,4.0,7.0,10.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",32.0,0.0,317.0,13.4,9.8,16.7,13.1,30.0,46.0,76.0,93.0,"(-1, 5]",2,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",35.0,12.0,918.0,12.7,3.8,11.8,7.8,30.0,95.0,125.0,446.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",18.0,10.0,409.0,9.2,4.8,16.2,10.3,18.0,56.0,74.0,152.0,"(5, 11]",2,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",43.0,18.0,991.0,10.5,4.5,13.9,9.2,39.0,119.0,158.0,372.0,"(5, 11]",2,"(8, 11]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",11.0,4.0,207.0,9.5,4.8,15.4,9.9,9.0,27.0,36.0,74.0,"(5, 11]",2,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",5.0,0.0,55.0,6.7,4.2,15.0,9.9,2.0,8.0,10.0,14.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",2.0,0.0,31.0,26.1,14.3,17.9,16.1,4.0,5.0,9.0,14.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",42.0,3.0,524.0,14.8,8.3,18.2,13.2,40.0,87.0,127.0,179.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",72.0,51.0,1597.0,16.0,7.6,18.8,13.3,109.0,273.0,382.0,533.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",50.0,6.0,718.0,10.9,9.9,16.4,13.3,61.0,110.0,171.0,138.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",67.0,22.0,1487.0,12.7,7.0,18.1,12.4,93.0,232.0,325.0,401.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",78.0,78.0,2360.0,13.8,4.0,13.8,8.9,85.0,288.0,373.0,661.0,"(5, 11]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",17.0,4.0,296.0,10.2,2.9,15.1,9.1,7.0,38.0,45.0,72.0,"(5, 11]",3,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",42.0,1.0,595.0,9.9,4.3,15.3,10.0,22.0,83.0,105.0,150.0,"(5, 11]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",22.0,14.0,381.0,9.8,6.6,15.0,10.7,23.0,51.0,74.0,107.0,"(5, 11]",3,"(8, 11]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,0.0,581.0,6.7,8.5,13.7,11.2,44.0,72.0,116.0,169.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",54.0,0.0,653.0,8.0,9.1,15.8,12.5,49.0,86.0,135.0,224.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",1.0,0.0,19.0,2.5,0.0,27.7,14.6,0.0,5.0,5.0,4.0,"(5, 11]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",52.0,2.0,1107.0,11.4,2.2,8.5,5.5,21.0,86.0,107.0,341.0,"(-1, 5]",2,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",53.0,34.0,1614.0,10.7,2.4,9.2,5.8,35.0,133.0,168.0,539.0,"(-1, 5]",2,"(-1, 2]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",28.0,0.0,237.0,3.3,1.0,6.5,3.7,2.0,13.0,15.0,63.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",10.0,0.0,59.0,0.1,0.0,10.2,5.0,0.0,5.0,5.0,20.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",73.0,51.0,1767.0,12.3,3.7,9.1,6.4,56.0,135.0,191.0,587.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",82.0,82.0,2901.0,15.4,2.7,10.5,6.6,68.0,264.0,332.0,1145.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",65.0,65.0,2196.0,14.7,2.9,7.9,5.4,57.0,155.0,212.0,879.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",78.0,78.0,2926.0,16.7,3.3,9.5,6.4,89.0,240.0,329.0,1383.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",34.0,34.0,1143.0,17.1,2.8,11.8,7.2,28.0,114.0,142.0,487.0,"(-1, 5]",3,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",40.0,37.0,1303.0,18.8,2.8,9.0,5.9,32.0,103.0,135.0,592.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",65.0,23.0,1831.0,19.7,1.6,10.5,5.9,27.0,168.0,195.0,1089.0,"(5, 11]",3,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",67.0,61.0,2190.0,17.1,2.2,10.6,6.4,46.0,218.0,264.0,1029.0,"(5, 11]",2,"(5, 8]"
