height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
190,86,*,1986,*,*,*,*,2010,23,80.0,2.0,1442.0,14.8,3.2,9.8,6.7,38.0,133.0,171.0,635.0,1,1
190,86,*,1986,*,*,*,*,2011,24,70.0,5.0,1234.0,13.2,3.3,9.9,6.6,36.0,106.0,142.0,523.0,2,1
190,86,*,1986,*,*,*,*,2012,25,66.0,28.0,1752.0,18.0,3.5,7.7,5.6,53.0,115.0,168.0,775.0,3,1
190,86,*,1986,*,*,*,*,2013,26,77.0,77.0,2581.0,17.5,2.6,8.0,5.2,60.0,178.0,238.0,1134.0,4,1
190,86,*,1986,*,*,*,*,2014,27,76.0,75.0,2668.0,21.4,2.9,7.4,5.2,69.0,176.0,245.0,1542.0,5,1
190,86,*,1986,*,*,*,*,2015,28,26.0,26.0,905.0,18.8,4.1,7.7,5.9,30.0,59.0,89.0,432.0,6,2
190,86,*,1986,*,*,*,*,2016,29,72.0,72.0,2363.0,15.5,2.7,10.4,6.6,54.0,223.0,277.0,1018.0,7,2
190,86,*,1986,*,*,*,*,2017,30,73.0,73.0,2459.0,19.7,2.7,9.9,6.3,61.0,217.0,278.0,1483.0,8,2
203,102,*,1990,*,*,*,*,2011,20,72.0,17.0,1218.0,10.7,4.0,9.8,6.9,41.0,98.0,139.0,388.0,0,2
203,102,*,1990,*,*,*,*,2012,21,66.0,58.0,2015.0,15.5,3.3,9.9,6.6,59.0,171.0,230.0,782.0,1,1
203,102,*,1990,*,*,*,*,2013,22,72.0,27.0,2104.0,16.8,2.8,9.8,6.3,51.0,174.0,225.0,1017.0,2,3
203,102,*,1990,*,*,*,*,2014,23,77.0,77.0,2800.0,16.2,2.5,14.0,8.0,62.0,329.0,391.0,1248.0,3,2
203,102,*,1990,*,*,*,*,2015,24,76.0,76.0,2618.0,20.2,2.4,14.0,8.2,54.0,319.0,373.0,1463.0,4,3
203,102,*,1990,*,*,*,*,2016,25,80.0,80.0,2893.0,18.3,2.5,13.5,8.0,61.0,336.0,397.0,1578.0,5,2
203,102,*,1990,*,*,*,*,2017,26,73.0,73.0,2516.0,22.2,2.3,15.4,9.0,49.0,344.0,393.0,1601.0,6,2
211,109,*,1990,*,*,*,*,2014,24,60.0,15.0,818.0,16.5,13.4,26.9,20.0,103.0,197.0,300.0,286.0,0,1
211,109,*,1990,*,*,*,*,2015,25,73.0,49.0,2193.0,17.2,11.3,20.8,15.9,223.0,386.0,609.0,710.0,1,3
211,109,*,1990,*,*,*,*,2016,26,82.0,39.0,2220.0,17.1,8.3,22.1,15.3,157.0,428.0,585.0,827.0,2,1
211,109,*,1990,*,*,*,*,2017,27,82.0,82.0,2653.0,14.2,8.1,20.5,14.2,188.0,459.0,647.0,816.0,3,1
208,106,*,1993,*,*,*,*,2015,21,8.0,0.0,51.0,1.5,4.4,15.2,9.9,2.0,7.0,9.0,16.0,0,1
211,120,*,1990,*,*,*,*,2011,20,80.0,48.0,2222.0,18.0,13.0,20.4,16.5,248.0,353.0,601.0,751.0,0,1
211,120,*,1990,*,*,*,*,2012,21,66.0,66.0,2082.0,22.0,13.3,23.6,18.3,239.0,398.0,637.0,1015.0,1,1
211,120,*,1990,*,*,*,*,2013,22,81.0,81.0,2687.0,19.5,9.9,23.6,16.7,236.0,541.0,777.0,1298.0,2,2
