height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",73.0,20.0,1742.0,12.2,5.3,12.2,10.0,30.0,171.0,206.0,545.0,"(5, 11]",1
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",9.0,0.0,193.0,9.9,0.0,16.6,7.5,0.0,27.0,29.0,64.0,"(5, 11]",2
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",32.0,0.0,309.0,9.2,4.5,7.8,5.4,5.0,22.0,25.0,89.0,"(5, 11]",2
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",57.0,0.0,939.0,13.1,6.9,8.6,17.5,60.0,79.0,132.0,430.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",63.0,3.0,1139.0,12.1,7.5,17.4,6.5,38.0,107.0,139.0,447.0,"(-1, 5]",2
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",78.0,12.0,2193.0,15.9,9.1,3.9,8.0,61.0,200.0,260.0,1089.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",30.0,21.0,899.0,12.1,2.3,11.7,9.8,22.0,96.0,112.0,371.0,"(-1, 5]",3
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",33.0,3.0,800.0,13.3,4.9,3.1,9.0,16.0,92.0,108.0,404.0,"(-1, 5]",3
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",44.0,0.0,652.0,9.0,0.0,16.3,12.4,17.0,102.0,121.0,286.0,"(-1, 5]",2
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",64.0,0.0,1056.0,6.7,3.6,5.8,0.8,17.0,68.0,84.0,407.0,"(-1, 5]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",5.0,0.0,14.0,3.1,7.0,0.0,2.9,2.0,0.0,1.0,0.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",42.0,2.0,368.0,4.9,13.2,20.0,22.5,36.0,59.0,100.0,87.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",69.0,42.0,1519.0,12.9,7.6,22.7,16.0,142.0,314.0,450.0,436.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",78.0,46.0,1820.0,12.7,14.0,25.6,22.5,181.0,416.0,594.0,708.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",77.0,34.0,1563.0,14.1,9.6,23.1,16.9,156.0,353.0,510.0,610.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",6.0,1.0,161.0,10.2,7.9,12.0,8.9,12.0,17.0,28.0,64.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",13.0,3.0,71.0,14.2,27.9,12.9,23.2,17.0,11.0,28.0,22.0,"(-1, 5]",1
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",75.0,15.0,1842.0,11.3,2.6,10.8,5.4,42.0,134.0,176.0,667.0,"(-1, 5]",2
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,0.0,671.0,11.6,4.7,9.6,5.1,12.0,63.0,82.0,249.0,"(-1, 5]",1
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",19.0,2.0,282.0,24.7,8.2,5.3,8.2,7.0,16.0,17.0,170.0,"(-1, 5]",3
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",8.0,0.0,34.0,4.5,3.6,14.7,12.7,0.0,8.0,6.0,11.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",34.0,5.0,338.0,14.5,11.3,21.4,12.8,17.0,62.0,78.0,140.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",57.0,29.0,952.0,13.2,10.5,24.7,17.0,96.0,187.0,275.0,327.0,"(-1, 5]",1
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",72.0,9.0,959.0,20.1,12.8,26.7,23.1,103.0,210.0,315.0,438.0,"(5, 11]",1
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",58.0,22.0,863.0,14.2,10.4,25.8,21.3,75.0,197.0,275.0,352.0,"(5, 11]",1
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",37.0,17.0,587.0,12.5,7.8,27.8,15.5,45.0,132.0,177.0,204.0,"(5, 11]",1
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",13.0,6.0,107.0,13.5,0.0,8.7,7.9,0.0,7.0,10.0,26.0,"(-1, 5]",1
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",49.0,7.0,682.0,9.0,2.0,11.2,7.5,9.0,64.0,71.0,167.0,"(-1, 5]",2
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",81.0,9.0,2106.0,11.9,1.7,5.0,6.5,29.0,189.0,216.0,833.0,"(-1, 5]",2
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",77.0,6.0,2256.0,12.9,0.9,13.3,5.2,18.0,206.0,225.0,844.0,"(-1, 5]",2
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",11.0,0.0,178.0,16.8,12.2,12.9,9.1,13.0,17.0,31.0,76.0,"(-1, 5]",1
